,id,imdb_id,wikidata_id,facebook_id,instagram_id,twitter_id
0,912649,tt16366836,Q113371337,VenomMovie,venommovie,VenomMovie
1,1034541,tt27911000,Q119821866,TerrifierFilm,officialterrifier3,terrifierfilm
2,1184918,tt29623480,Q124378349,dreamworksthewildrobot,thewildrobot,
3,558449,tt9218128,Q115789958,GladiatorMovie,gladiatormovie,GladiatorMovie
4,1118031,tt27599851,Q130447150,,,
5,791042,tt10831486,,,,
6,533535,tt6263850,Q102180106,DeadpoolMovie,deadpoolmovie,deadpoolmovie
7,1124641,tt27714840,,,,
8,933260,tt17526714,Q113380226,trythesubstance,trythesubstance,TryTheSubstance
9,698687,tt8864596,Q116638627,transformersmovie,transformersmovie,transformers
10,402431,tt1262426,Q24797403,wickedmovie,wickedmovie,wickedmovie
11,945961,tt18412256,Q115932544,alienanthology,alienanthology,AlienAnthology
12,845781,tt14948432,Q114876737,redonemov,redonemov,redonemov
13,179387,tt1433524,,,,
14,1051896,tt22939186,Q118402587,,,
15,1100782,tt29268110,Q123472063,SmileMovie,smilemovie,SmileMovie
16,1014505,tt14603848,Q117350228,,,over_lord_anime
17,519182,tt7510222,Q113373276,minions,minions,Minions
18,335983,tt1270797,Q23006268,VenomMovie,venommovie,VenomMovie
19,1084736,tt26446278,Q119998666,,lecomtedemontecristolefilm,
20,1116490,tt24131288,Q115707860,,,
21,1022789,tt22022452,Q113877606,,,
22,1041317,tt11585506,,,,
23,1149912,,,,,
24,1241982,tt13622970,Q124457266,,,
25,1142518,tt31917705,Q130314181,,,
26,928480,tt3954936,,,,
27,1196470,tt27032708,,,,
28,1100856,tt13358904,,,,
29,98,tt0172495,Q128518,,,
30,269509,tt2403439,Q15270669,,,
31,1029235,tt22173666,Q122875375,,,
32,592831,tt10128846,Q115175910,megalopolisfilm,megalopolisfilm,megalopolismov
33,580489,tt7097896,Q60498064,VenomMovie,venommovie,venommovie
34,976734,tt20048582,Q117848301,,,
35,1288998,tt33304396,,,,
36,889737,tt11315808,Q108628759,jokermovie,jokermovie,jokermovie
37,592695,tt8550054,Q105043940,,,
38,1094974,tt28129054,,,,
39,573435,tt4919268,Q31271357,BadBoysMovie,badboys,BadBoys
40,972614,tt20115766,Q120869836,,,
41,1214484,tt27410895,Q123944157,,,
42,1371727,tt33999453,,,,
43,1331375,tt14972766,,,,
44,1328814,tt10071550,,,,
45,1125510,tt27729779,Q124651039,,,
46,603692,tt10366206,Q80322358,johnwickmovie,johnwickmovie,JohnWickMovie
47,1010581,tt21909764,Q119205965,,,
48,917496,tt2049403,Q112865900,BeetlejuiceMovie,beetlejuicemovie,Beetlejuice
49,1159311,tt32176689,Q124388041,,heroaca_insta,heroaca_movie
50,1287717,tt27155283,Q129485961,,,
51,1063877,tt24807110,Q121555343,,,
52,420634,tt4281724,Q50650165,,,terrifierfilm
53,823219,tt4772188,Q125622088,filmastraume,filma_straume,
54,482600,,,,,
55,978796,tt21201300,,,,
56,957452,tt1340094,Q113300899,TheCrow,thecrow,TheCrow_Movie
57,1144962,tt28096092,,,,
58,616446,tt9860566,Q108266237,,,
59,947891,tt18559464,Q119206819,,myoldassfilm,
60,726139,tt25808194,Q117842179,,,
61,1011985,tt21692408,Q114707487,KungFuPanda,kungfupanda,
62,1354627,tt33404610,,,,
63,639720,tt11152168,Q111918059,IFmovie,ifmovie,IFmovie
64,637649,tt11083552,Q74190990,WrathFilm,wrathfilm,WrathFilm
65,18183,tt0103994,Q5196238,,,
66,827931,tt14857528,Q124393043,,,
67,748783,tt5779228,Q113547547,GarfieldMovie,garfieldmovie,GarfieldMovie
68,1140648,tt14729020,,,,
69,259872,tt1852099,,,,
70,663712,tt10403420,Q101002778,TerrifierFilm,terrifier2_official,TerrifierFilm
71,1079091,tt10655524,Q118641054,ItEndsWithUsMovie,itendswithusmovie,ItEndsWithUs
72,991610,tt21265054,Q112180367,,,
73,882598,tt15474916,Q112623225,SmileMovie,smilemovie,SmileMovie
74,940551,tt6495056,Q117457809,migrationmovie,migrationmovie,Migrationmovie
75,157336,tt0816692,Q13417189,Interstellarmovie,interstellarmovie,interstellar
76,1290287,tt32359447,Q125948108,,,
77,177572,tt2245084,Q13091172,,,
78,823464,tt14539740,Q113360912,GodzillaXKong,godzillaxkong,GodzillaXKong
79,653346,tt11389872,Q114314695,ApesMovies,apesmovies,ApesMovies
80,507241,tt0327785,Q121091587,,,
81,1151949,tt28349451,Q130191924,,,
82,420818,tt6105098,Q27044293,DisneyTheLionKing,lionking,disneylionking
83,588648,tt7093904,Q117075097,,,
84,939243,tt18259086,Q115859490,sonicmovie,sonicmovie,SonicMovie
85,1145491,tt27635178,,,,
